  Global optimal solution found at iteration:            61
  Objective value:                                 1448793.


                       Variable           Value        Reduced Cost
                    VAR1( 1, 1)        2.000000           -888.0000
                    VAR1( 1, 2)        5.000000           -1680.000
                    VAR1( 1, 3)        5.000000           -2530.000
                    VAR1( 1, 4)        10.00000           -3197.000
                    VAR1( 1, 5)        3.000000           -3996.000
                    VAR1( 1, 6)        18.00000           -4795.000
                    VAR1( 1, 7)        7.000000           -4973.000
                    VAR1( 2, 1)        0.000000            0.000000
                    VAR1( 2, 2)        5.000000           -888.0000
                    VAR1( 2, 3)        0.000000           -1680.000
                    VAR1( 2, 4)        8.000000           -2530.000
                    VAR1( 2, 5)        5.000000           -3197.000
                    VAR1( 2, 6)        10.00000           -3996.000
                    VAR1( 2, 7)        20.00000           -4262.000
                    VAR1( 3, 1)        0.000000            0.000000
                    VAR1( 3, 2)        0.000000            0.000000
                    VAR1( 3, 3)        10.00000           -888.0000
                    VAR1( 3, 4)        17.00000           -1680.000
                    VAR1( 3, 5)        14.00000           -2530.000
                    VAR1( 3, 6)        3.000000           -3374.000
                    VAR1( 3, 7)        30.00000           -3552.000
                    VAR1( 4, 1)        0.000000            0.000000
                    VAR1( 4, 2)        0.000000            0.000000
                    VAR1( 4, 3)        0.000000            0.000000
                    VAR1( 4, 4)        0.000000           -888.0000
                    VAR1( 4, 5)        6.000000           -1776.000
                    VAR1( 4, 6)        5.000000           -2664.000
                    VAR1( 4, 7)        20.00000           -3197.000
                    VAR1( 5, 1)        0.000000            0.000000
                    VAR1( 5, 2)        0.000000            0.000000
                    VAR1( 5, 3)        0.000000            0.000000
                    VAR1( 5, 4)        0.000000            0.000000
                    VAR1( 5, 5)        0.000000           -999.0000
                    VAR1( 5, 6)        0.000000           -1998.000
                    VAR1( 5, 7)        9.000000           -2697.000
                    VAR1( 6, 1)        0.000000            0.000000
                    VAR1( 6, 2)        0.000000            0.000000
                    VAR1( 6, 3)        0.000000            0.000000
                    VAR1( 6, 4)        0.000000            0.000000
                    VAR1( 6, 5)        0.000000            0.000000
                    VAR1( 6, 6)        18.00000           -999.0000
                    VAR1( 6, 7)        10.00000           -1680.000
                    VAR1( 7, 1)        0.000000            0.000000
                    VAR1( 7, 2)        0.000000            0.000000
                    VAR1( 7, 3)        0.000000            0.000000
                    VAR1( 7, 4)        0.000000            0.000000
                    VAR1( 7, 5)        0.000000            0.000000
                    VAR1( 7, 6)        0.000000            0.000000
                    VAR1( 7, 7)        0.000000           -888.0000
                   VAR21( 1, 1)        0.000000           -888.0000
                   VAR21( 1, 2)        15.00000           -1680.000
                   VAR21( 1, 3)        1.000000           -2530.000
                   VAR21( 1, 4)        0.000000           -3197.000
                   VAR21( 1, 5)        12.00000           -3996.000
                   VAR21( 1, 6)        0.000000           -4795.000
                   VAR21( 1, 7)        0.000000           -4973.000
                   VAR21( 2, 1)        0.000000            0.000000
                   VAR21( 2, 2)        0.000000           -888.0000
                   VAR21( 2, 3)        0.000000           -1680.000
                   VAR21( 2, 4)        0.000000           -2530.000
                   VAR21( 2, 5)        5.000000           -3197.000
                   VAR21( 2, 6)        0.000000           -3996.000
                   VAR21( 2, 7)        0.000000           -4262.000
                   VAR21( 3, 1)        0.000000            0.000000
                   VAR21( 3, 2)        0.000000            0.000000
                   VAR21( 3, 3)        0.000000           -888.0000
                   VAR21( 3, 4)        0.000000           -1680.000
                   VAR21( 3, 5)        0.000000           -2530.000
